duty,trip_count,battery_kwh,charge_kw,reserve_kwh,source_valid,production_valid,both_valid,minimum_source_soc_kwh,source_terminal_soc_kwh,source_violations,production_first_rejection,input_sha256
13405,13,240,240,0,False,False,False,61.427414774000134,61.427414774000134,"[""row 1758: recharge exceeds power/window"", ""row 1761: recharge exceeds power/window"", ""row 1764: recharge exceeds power/window"", ""row 1767: recharge exceeds power/window"", ""row 1770: recharge exceeds power/window"", ""row 1773: recharge exceeds power/window"", ""row 1776: recharge exceeds power/window"", ""row 1779: recharge exceeds power/window"", ""row 1782: recharge exceeds power/window"", ""row 1785: recharge exceeds power/window"", ""row 1788: recharge exceeds power/window""]",charge 39.7 kWh exceeds 240 kW in 9 min at 2190L_0,ed027701c800d49faf2936a796b94b7713675ab45a68b3b7aeffd3dfa777a46a
13405,13,240,350,0,True,True,True,61.427414774000134,61.427414774000134,[],,ed027701c800d49faf2936a796b94b7713675ab45a68b3b7aeffd3dfa777a46a
13406,14,240,240,0,False,False,False,61.54220277400003,86.01220308400003,"[""row 1800: recharge exceeds power/window"", ""row 1803: recharge exceeds power/window"", ""row 1806: recharge exceeds power/window"", ""row 1809: recharge exceeds power/window"", ""row 1812: recharge exceeds power/window"", ""row 1815: recharge exceeds power/window"", ""row 1818: recharge exceeds power/window"", ""row 1823: recharge exceeds power/window"", ""row 1826: recharge exceeds power/window"", ""row 1829: recharge exceeds power/window""]",charge 32.9 kWh exceeds 240 kW in 8 min at 4808_0,753e5da43b31d30cb18bff1aa2ec8a45c6938b39b51fc71d31d905fb99f0c846
13406,14,240,350,0,True,True,True,61.54220277400003,86.01220308400003,[],,753e5da43b31d30cb18bff1aa2ec8a45c6938b39b51fc71d31d905fb99f0c846
13407,17,240,240,0,False,False,False,41.14380716400001,90.08906076200005,"[""row 1847: recharge exceeds power/window"", ""row 1850: recharge exceeds power/window"", ""row 1853: recharge exceeds power/window"", ""row 1856: recharge exceeds power/window"", ""row 1861: recharge exceeds power/window"", ""row 1865: recharge exceeds power/window"", ""row 1868: recharge exceeds power/window"", ""row 1871: recharge exceeds power/window"", ""row 1874: recharge exceeds power/window"", ""row 1877: recharge exceeds power/window"", ""row 1880: recharge exceeds power/window"", ""row 1884: recharge exceeds power/window"", ""row 1887: recharge exceeds power/window"", ""row 1890: recharge exceeds power/window""]",charge 34.1 kWh exceeds 240 kW in 8 min at 2190L_0,34d69400efcc95144d698ee659e5266a888fd3ad74aba9111d127998468fbe25
13407,17,240,350,0,True,True,True,41.14380716400001,90.08906076200005,[],,34d69400efcc95144d698ee659e5266a888fd3ad74aba9111d127998468fbe25
13408,11,240,240,0,False,False,False,51.92644048000001,51.92644048000001,"[""row 1905: recharge exceeds power/window"", ""row 1908: recharge exceeds power/window"", ""row 1911: recharge exceeds power/window"", ""row 1914: recharge exceeds power/window"", ""row 1919: recharge exceeds power/window"", ""row 1922: recharge exceeds power/window"", ""row 1925: recharge exceeds power/window""]",charge 38.7 kWh exceeds 240 kW in 9 min at 2190L_0,e6cfd33906da0562ac708646df1516cb813cfda221533b8494d6197ef4fb20a9
13408,11,240,350,0,True,True,True,51.92644048000001,51.92644048000001,[],,e6cfd33906da0562ac708646df1516cb813cfda221533b8494d6197ef4fb20a9
13409,17,240,240,0,False,False,False,48.976717674000035,68.23912226200008,"[""row 1939: recharge exceeds power/window"", ""row 1942: recharge exceeds power/window"", ""row 1945: recharge exceeds power/window"", ""row 1948: recharge exceeds power/window"", ""row 1951: recharge exceeds power/window"", ""row 1954: recharge exceeds power/window"", ""row 1957: recharge exceeds power/window"", ""row 1960: recharge exceeds power/window"", ""row 1965: recharge exceeds power/window"", ""row 1968: recharge exceeds power/window"", ""row 1971: recharge exceeds power/window"", ""row 1976: recharge exceeds power/window""]",charge 23.2 kWh exceeds 240 kW in 5 min at 2190L_0,b7e2e36ba2ca2896babc91918ffb9a167e35a3a802ade399e9ff0261164b6777
13409,17,240,350,0,True,True,True,48.976717674000035,68.23912226200008,[],,b7e2e36ba2ca2896babc91918ffb9a167e35a3a802ade399e9ff0261164b6777
