chain,k,unchanged_giro_schedule_valid_count,unchanged_recorded_activity_valid_count,unchanged_production_schedule_valid_count,fixed_trip_optimized_charging_reported_valid_count,fixed_trip_certificate_reverified_this_audit,duties,unchanged_schedule_rejected_duties,fixed_trip_optimized_charging_reverified_valid_count
2,28,0,1,0,28,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314,28
2,29,0,1,0,29,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315,29
2,30,0,1,0,30,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305,30
2,31,0,1,0,31,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt,31
2,32,0,1,0,32,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322,32
2,33,0,1,0,33,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301,33
2,34,0,1,0,34,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317,34
2,35,0,1,0,35,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317;13409,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317;13409,35
2,36,0,1,0,36,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317;13409;13313,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317;13409;13313,36
2,37,0,1,0,37,True,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317;13409;13313;13306,13311;13307;13320;13406;13302;13324t;13310;13321;13312;13404;13414;13319;13411;13303;13325;13407;13308;13309;13323;13412;13413;13402;13304;13401;13403;13326;13318;13314;13315;13305;13316uwt;13322;13301;13317;13409;13313;13306,37
