case,chain,target,final_buses,buses_above_target,stage1_buses,fleet_bound,fleet_proven,final_status,final_incumbent_source,cg_pricing_certified,cg_stop_reason,individual_route_replay,duplicate_removal_validated,shared_capacity_validated,source_mip_path,source_mip_sha256,source_cg_path,source_cg_sha256
w5_k33,5,33,39,6,39,32.000000000000014,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k33/mip_result.json,960186320b1846bf0a701b4b97b3f95f4dbb2d4db05a9ce03f9ef27ecbbf7e83,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k33/cg/661707_r0/cg.json,25bc97be2fca637fe613a744f233a5c7b303216ddcdd9d7264df218d35d1fd28
w5_k34,5,34,41,7,41,33.000000000000085,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k34/mip_result.json,c961b997b7ce6b8da401f486dab393e5e466a83faf6b9fa5b1f389549f241254,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k34/cg/661709_r0/cg.json,c9b419155bb3c3ba693d12c4ebd16ed366e5a0a1122b1ea80b54ffa69c81a737
w5_k35,5,35,41,6,41,34.00000000000007,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k35/mip_result.json,3c053cb6d6be966cb2aa47d5dda23a0da2e490e4b7e2f0173cf125e77eee49cb,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k35/cg/661711_r0/cg.json,8fbb608945c87f5ef8e46ce9f8a765649c0fc9d334af50d8251c019d27f77942
w5_k36,5,36,42,6,42,35.00000000000001,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k36/mip_result.json,4730624efbc7defdd8f3cb2a71658ee5ab90f8b400b8478fcd68ffd3f531d2f9,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k36/cg/661713_r0/cg.json,869295b659e8e7530367b0c1fc110db0139f8216af782a23436b3512de013e52
w5_k37,5,37,42,5,42,36.00000000000013,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k37/mip_result.json,18eb0822a7c4d72eee64830a4e9b95430b59d5ce00b493ae399d4b3a81607452,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k37/cg/661715_r0/cg.json,f6be894aeedf52ecb3802cbf1006ab6828a872cc6ea1740f29e99ade3d68c4cd
w5_k38,5,38,43,5,43,37.000000000000114,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k38/mip_result.json,b14d584187b2899f2181081a96b3ccf09d799037954f3cfdd14612b3255221db,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k38/cg/661717_r0/cg.json,627023f8749538d0c544a7907fc4adc71f91660c372aa99839c12e606c363728
w5_k39,5,39,45,6,45,38.00000000000062,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k39/mip_result.json,e61fd3e14087ed59321984f562c2ac1d7cdc0b77265355f90335b24a90a3710d,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k39/cg/661719_r0/cg.json,00104874b9d91a2923fc0b41528bc8f713a18d6bd638c657b6b12236b1677f18
w5_k40,5,40,44,4,44,39.000000000000085,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k40/mip_result.json,241037814dff3852449d5cb3ebf3028aefa0dd6918dbab5db2b23daa08df4085,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w5_k40/cg/661721_r0/cg.json,5e0551a41741e07a179d991ecdb102e4ccc27c4450be3a00c26f3b9e3045a091
w6_k33,6,33,38,5,38,32.00000000000016,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k33/mip_result.json,007587ec37745c11fb4c6724cbd71834dac265083af45e82791397adc1936ddd,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k33/cg/661724_r0/cg.json,0b43b3848f562384afd149cead16d48e5035d60659dd72f990ff342dbfd25d20
w6_k34,6,34,40,6,40,33.00000000000015,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k34/mip_result.json,350f9ecb8f6d0d4ff8c3c610744eb7901519a2bebfab0f8451e7df8a9b57e146,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k34/cg/661727_r0/cg.json,a94f15ff9bb26f375e002e2ebefaa2967a9b04d4765534af99d09f6ff47b64cf
w6_k35,6,35,37,2,37,34.00000000000007,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k35/mip_result.json,83dd8989e9d25435659c51e76b74862d2e2ec80a16af9dff7212b3a897a4fdd7,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k35/cg/661729_r0/cg.json,fc4637b455876f36ef67e9a500cb312637f98dcacc8206d27caacee01bb98376
w6_k36,6,36,39,3,39,35.00000000000014,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k36/mip_result.json,68450eea32632f0a119c8b5b6ef19b2a24ba3a7f8fa82fc3eee1b41f94d9d3b6,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k36/cg/661731_r0/cg.json,81a4e5a4d0893e1b9c141603beafd0f4db49d60eb6dd188296cca5db974efb94
w6_k37,6,37,43,6,43,36.00000000000005,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k37/mip_result.json,12c5f332add38f062dca4be961d86f0eeb5899d89a8119ec501aacb8fb1d7573,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k37/cg/661733_r0/cg.json,f515c0ad0e57dc1b94a36a4e3e8671ed7a81ecedae158761dd336353c08caab8
w6_k38,6,38,42,4,42,37.000000000000064,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k38/mip_result.json,9bb70e8b73708fe63ec79ce3134586656e8105b584bcdb8429b7112713677bae,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k38/cg/661736_r0/cg.json,ae1b539a770dca71601f159f262a9a044d9408ba6eda45f1b973063dbfe890a4
w6_k39,6,39,44,5,44,38.000000000000114,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k39/mip_result.json,993c3e219368f59415cb09de6223e5146a9da01001db80e46b9bd1c13039b4da,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k39/cg/661739_r0/cg.json,82b93471fd6bfac82d0080da79bb62c0cc25aceac1a1ab50ba179fe125bd5d0a
w6_k40,6,40,45,5,45,39.00000000000002,False,TIME_LIMIT,stage2_solver,False,wall_limit,True,False,False,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k40/mip_result.json,acc32869a23ca5aa2ff8361b1754741a1cc83e34a98ee3239d458cb4691450e6,/share/scaglione/nc437/evsp-dr/chain_extension_33_40_20260921/cases/w6_k40/cg/661741_r0/cg.json,8522a4d1a6be35948ebd5c20af44fcffb76c7d76cec38fe1c09b3b765c310904
