Start Place,End Place,Base Duration,Energy used
14948,7300,32.0,50.0
14948,7488,33.0,54.0
14948,7492,34.0,57.0
14948,7498,33.0,62.2
14948,GRIX,28.0,44.0
14948,HED_P,32.0,49.2
14948,KRC_P,8.0,7.6
14948,PAGX,30.0,56.0
1595,1595P,0,0
1595,2190,8.0,5.6
1595,2240,3.0,1.5
1595,2580,15.0,11.2
1595,8566,14.0,11.8
1595,BUX,15.0,15.4
1595,JBX,18.0,20.0
1595,KEX,17.0,13.6
1595,KEXC,14.0,11.8
1715,4760,16.0,26.0
1715,4760C,16.0,26.0
1715,8566,25.0,48.4
1715,KEX,26.0,40.4
1715,KEXC,26.0,40.4
17320,18110,41.0,71.8
17320,18711,48.0,73.8
17320,19205,53.0,119.6
17320,19235,51.0,112.6
17320,3127,43.0,62.0
17320,3180,35.0,62.0
17320,3215,48.0,97.4
17320,3860,37.0,49.6
17320,4485,53.0,100.0
17320,4490,40.0,66.2
17320,4510,44.0,67.6
17320,4760,40.0,78.4
17320,4945,39.0,65.4
17320,5147,11.0,20.4
17320,5180,44.0,68.0
17320,5421,36.0,84.0
17320,5865,45.0,98.6
17320,6125,59.0,105.4
17320,6225,11.0,21.4
17320,6480,32.0,58.2
17320,7300,34.0,63.0
17320,7488,43.0,82.6
17320,7498,43.0,79.4
17320,GRIX,41.0,69.2
17320,GÅO_P,2.0,2.0
17320,JON_P,19.0,38.4
17320,PARX,27.0,45.2
1740,4290,6.0,9.8
1740,KEX,5.0,3.0
1740,PARX,14.0,20.2
1760,2350,19.0,27.2
1760,2350C,19.0,27.2
1760,2530,16.0,19.0
1760,2530C,16.0,19.0
1760,3127,5.0,2.4
1760,3180,7.0,6.2
1760,3245,18.0,28.2
1760,3640,7.0,2.8
1760,3645,7.0,3.0
1760,3680,17.0,17.4
1760,3680C,17.0,17.4
1760,4100,10.0,12.0
1760,4290,14.0,17.0
1760,4485,31.0,37.4
1760,4490,10.0,10.4
1760,4760,15.0,12.6
1760,4760C,13.0,10.4
1760,4940,5.0,2.0
1760,5125,25.0,29.2
1760,5175,17.0,26.0
1760,5180,6.0,3.8
1760,5630,23.0,21.8
1760,5767,15.0,24.0
1760,6242,6.0,2.4
1760,7485,19.0,25.8
1760,7600,3.0,1.4
1760,7630,22.0,25.8
1760,8566,12.0,9.0
1760,8570,12.0,8.8
1760,9620,23.0,21.8
1760,HED_P,5.0,1.7
1760,JBX,22.0,24.0
1760,KEX,12.0,9.0
1760,KEXC,12.0,9.0
18110,18112,2.0,1.0
18110,18162,5.0,5.0
18110,18210,14.0,16.8
18110,18711,6.0,6.0
18110,19205,36.0,69.0
18110,19235,39.0,68.0
18110,2530,27.0,32.0
18110,2530C,27.0,32.0
18110,3127,25.0,27.4
18110,3127C,27.0,26.8
18110,3215,39.0,78.0
18110,3860,31.0,45.0
18110,4485,36.0,53.6
18110,4510,37.0,27.2
18110,4760,28.0,34.2
18110,4760C,28.0,44.8
18110,6125,37.0,50.2
18110,7488,31.0,49.2
18110,GRIX,29.0,39.8
18110,GVX,21.0,26.4
18110,HEDL,27.0,27.4
18110,HED_P,27.0,27.4
18110,KRC_P,39.0,67.6
18110,MYTL,1.0,0.2
18110,MYT_P,0,0
18110,MÖLCL,17.0,16.2
18110,MÖLC_P,18.0,16.2
18110,PAGX,25.0,36.8
18110,PARX,25.0,36.2
18110,RÄX,20.0,19.4
18110,SAX,22.0,22.0
18110,cMYT,1.0,0
18112,18117,8.0,6.8
18112,18130,8.0,5.6
18112,18711,8.0,7.0
18112,2043,14.0,21.4
18112,3127,21.0,26.2
18112,3980,24.0,23.0
18112,4524,15.0,20.2
18112,GRIX,32.0,38.4
18112,PAGX,24.0,32.4
18115,PAGX,27.0,38.6
18115,PARX,25.0,37.0
18115,RÄX,22.0,21.4
18115,SAX,24.0,24.0
18116,3127,20.0,24.0
18116,3127C,20.0,24.0
18116,HEDL,20.0,24.0
18116,HED_P,20.0,24.0
18116,RÄX,21.0,22.0
18116,SAX,23.0,24.6
18120,RÄX,18.0,18.8
18120,SAX,20.0,21.4
18125,RÄX,18.0,33.0
18125,SAX,20.0,35.6
1815,4290,5.0,5.0
1815,KEX,14.0,15.2
18162,18711,2.0,1.8
18162,3180,25.0,39.8
18162,7488,35.0,67.4
18162,GRIX,32.0,43.8
18210,PAGX,21.0,24.8
18210,PARX,20.0,25.4
18711,19205,45.0,60.8
18711,19235,38.0,74.4
18711,3127,27.0,32.4
18711,3215,45.0,66.6
18711,3860,39.0,51.6
18711,4485,40.0,57.6
18711,4490,27.0,42.6
18711,4760,35.0,41.4
18711,5147,39.0,65.0
18711,5865,37.0,63.8
18711,6125,40.0,45.8
18711,6480,23.0,31.4
18711,7300,27.0,38.2
18711,7488,40.0,70.0
18711,GRIX,35.0,43.8
18711,HED_P,26.0,32.4
18711,KRC_P,39.0,67.6
18711,MYT_P,6.0,6.0
18711,PAGX,25.0,38.8
19205,19235,10.0,10.0
19205,3127,28.0,44.6
19205,3127C,28.0,44.6
19205,3180,33.0,57.0
19205,3215,37.0,66.8
19205,3860,52.0,81.6
19205,4485,25.0,29.6
19205,4490,40.0,60.4
19205,4510,33.0,46.6
19205,4760,21.0,37.2
19205,4760C,21.0,37.2
19205,4945,32.0,56.6
19205,5147,45.0,90.2
19205,5180,37.0,56.8
19205,5421,15.0,30.8
19205,5865,22.0,25.2
19205,6125,9.0,11.6
19205,6225,45.0,93.0
19205,6480,27.0,57.0
19205,7300,35.0,49.6
19205,7488,40.0,60.6
19205,7498,37.0,58.0
19205,GRIX,39.0,63.0
19205,HED_P,27.0,44.6
19205,PARX,42.0,73.6
19235,3127,30.0,44.2
19235,3127C,30.0,44.2
19235,3180,36.0,56.2
19235,3215,39.0,66.0
19235,3860,51.0,78.2
19235,4485,19.0,24.0
19235,4490,35.0,53.4
19235,4510,27.0,39.8
19235,4760,24.0,36.4
19235,4945,35.0,55.8
19235,5147,47.0,89.2
19235,5180,34.0,50.4
19235,5421,17.0,30.0
19235,5865,16.0,23.6
19235,6125,8.0,8.4
19235,6225,47.0,89.8
19235,6480,29.0,47.6
19235,7300,32.0,42.6
19235,7488,35.0,53.6
19235,7498,37.0,54.4
19235,GRIX,40.0,62.6
19235,HED_P,29.0,44.2
19235,PARX,42.0,73.2
19240,4510,20.0,35.8
1950,3160,19.0,15.8
1950,7880,11.0,13.0
1950,KEX,9.0,6.8
1950,PAGX,16.0,22.0
2100,4760,11.0,9.4
2100,7340,4.0,2.2
2100,KEX,21.0,16.4
2190,2190C,2.0,0.6
2190,2190L,1.0,0.4
2190,2530,13.0,17.8
2190,2580,16.0,18.8
2190,3180,7.0,6.4
2190,3215,24.0,32.6
2190,4808,24.0,37.6
2190,7485,13.0,13.2
2190,8566,8.0,6.6
