case_id,trip_count,station_count,route_count,soc_step,delayed_charging,tariff_shape,station_reachability_density,lp_agrees,integer_agrees,pricing_agrees,agreement,pricing_samples,pricing_max_absolute_error,cg_pool_columns,bnp_nodes,arc_variables,wall_s
random_0102,11,1,309,2.0,False,flat,0.6363636363636364,True,True,True,True,32,2.9103830456733704e-11,66,1,379,0.05382233999989694
random_0103,10,1,1023,0.5,True,flat,1.0,True,True,True,True,32,3.4924596548080444e-10,27,1,2140,0.33435674399515847
random_0104,8,2,169,2.0,True,time_varying,0.6875,True,True,True,True,32,2.9103830456733704e-11,42,4,1746,0.29283520400349516
random_0105,12,1,699,2.0,False,time_varying,0.5833333333333334,True,True,True,True,32,5.820766091346741e-11,102,7,680,0.1416159360014717
random_0106,14,2,15842,2.0,True,time_varying,0.7857142857142857,True,True,True,True,32,1.1641532182693481e-10,43,1,6411,3.2727084120051586
random_0107,13,1,206,0.5,True,time_varying,0.2692307692307692,True,True,True,True,32,5.820766091346741e-11,78,6,1343,0.14271643399843015
random_0108,11,1,496,1.0,False,time_varying,0.5909090909090909,True,True,True,True,32,5.820766091346741e-11,50,1,411,0.06367256100202212
random_0109,13,1,765,1.0,True,flat,0.6538461538461539,True,True,True,True,32,5.820766091346741e-11,86,7,1511,0.28571470099996077
random_0110,11,2,1250,1.0,True,time_varying,0.5681818181818182,True,True,True,True,32,5.820766091346741e-11,129,6,2296,0.7146394890005467
random_0111,14,2,5756,0.5,True,time_varying,0.6785714285714286,True,True,True,True,32,1.1641532182693481e-10,305,5,5165,1.7230730859955656
random_0112,12,2,84,0.5,False,flat,0.3333333333333333,True,True,True,True,32,5.820766091346741e-11,43,1,213,0.03422882399900118
random_0113,13,1,4551,2.0,True,time_varying,0.8076923076923077,True,True,True,True,32,5.820766091346741e-11,96,2,3093,0.71070828899974
random_0114,12,2,793,0.5,False,time_varying,0.3958333333333333,True,True,True,True,32,5.820766091346741e-11,110,2,583,0.1639136099984171
random_0115,11,1,160,0.5,False,flat,0.6363636363636364,True,True,True,True,32,8.731149137020111e-11,42,1,416,0.04342977800115477
random_0116,12,2,2921,2.0,False,time_varying,0.7083333333333334,True,True,True,True,32,5.820766091346741e-11,185,5,1679,0.45683123499475187
random_0117,13,1,6411,0.5,True,time_varying,0.9230769230769231,True,False,True,False,32,5.820766091346741e-11,265,4,3183,0.9997383380032261
random_0118,8,2,105,2.0,True,time_varying,0.84375,True,True,True,True,32,5.820766091346741e-11,31,1,1124,0.1381143959952169
random_0119,10,1,226,1.0,False,flat,0.65,True,True,True,True,32,5.820766091346741e-11,45,1,281,0.03878550699300831
random_0120,9,1,28,1.0,False,flat,0.3333333333333333,True,True,True,True,32,2.9103830456733704e-11,25,1,64,0.02604131100088125
random_0121,8,1,62,2.0,False,time_varying,0.3125,True,True,True,True,32,2.9103830456733704e-11,26,1,115,0.023167530001956038
random_0122,14,2,2030,1.0,False,flat,0.44642857142857145,True,True,True,True,32,5.820766091346741e-11,185,1,869,0.21833606600557687
random_0123,11,1,71,0.5,True,flat,0.22727272727272727,True,True,True,True,32,5.820766091346741e-11,23,1,444,0.03577697300352156
random_0124,8,1,183,2.0,False,time_varying,0.8125,True,True,True,True,32,2.9103830456733704e-11,62,4,652,0.11824949600122636
random_0125,13,1,4961,2.0,False,flat,0.6538461538461539,True,True,True,True,32,2.3283064365386963e-10,200,8,1006,0.6144680209981743
random_0126,13,2,971,1.0,True,time_varying,0.5384615384615384,True,False,True,False,32,5.820766091346741e-11,137,1,3066,0.6508039300024393
random_0127,12,2,743,1.0,False,time_varying,0.4791666666666667,True,True,True,True,32,1.1641532182693481e-10,73,3,1202,0.16159366299689282
random_0128,12,2,2015,2.0,True,flat,0.6041666666666666,True,True,True,True,32,2.3283064365386963e-10,148,4,4518,0.9951902850007173
random_0129,11,1,153,0.5,True,time_varying,0.3181818181818182,True,True,True,True,32,2.9103830456733704e-11,57,6,928,0.11652103200322017
random_0130,10,1,203,0.5,True,flat,0.6,True,True,True,True,32,1.1641532182693481e-10,54,8,1192,0.1638091019995045
random_0131,8,2,207,0.5,True,flat,0.6875,True,True,True,True,32,5.820766091346741e-11,25,1,1444,0.23955933599791024
random_0132,8,1,200,0.5,True,flat,0.5625,True,True,True,True,32,5.820766091346741e-11,51,4,1036,0.2159220510002342
random_0133,12,1,515,1.0,False,flat,0.375,True,True,True,True,32,5.820766091346741e-11,86,3,589,0.12246183700335678
random_0134,13,1,260,2.0,True,flat,0.4230769230769231,True,True,True,True,32,1.1641532182693481e-10,64,2,1114,0.10465391800244106
random_0135,10,1,280,1.0,False,flat,0.6,True,False,True,False,32,1.1641532182693481e-10,71,4,396,0.07921617700048955
random_0136,10,1,370,0.5,True,time_varying,0.8,True,True,True,True,32,5.820766091346741e-11,60,1,1216,0.13693253599922173
random_0137,11,2,47,0.5,False,time_varying,0.4318181818181818,True,True,True,True,32,2.9103830456733704e-11,23,1,173,0.025220337003702298
random_0138,10,1,138,2.0,False,flat,0.7,True,True,True,True,32,7.639755494892597e-11,26,1,412,0.03584400299587287
