date_utc,run_id,execution_mode,commit,group,cell_id,phase,arm,scale,sel_rep,cg_rep,soc_step,block_min,budget_s,status,label,route_weight,route_weight_meaning,min_reduced_cost,certified,artificial_mass,n_columns,iters,master_s,pricing_s,wall_s,stop_reason,censor_reason,max_rss_mb,mip_incumbent_fleet,mip_bound,mip_gap,first_incumbent_s,mip_nodes,target_fleet,artifact_path,artifact_sha256,notes,source_cg_certified,source_cg_stop_reason,source_cg_iterations,pool_fleet_proven,pool_mip_bound,model_fleet_proven,model_optimality_method,optimality_scope,physical_witness_valid
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k02_s2_soc1_blk5,CG_SENSITIVITY,,2,2,,1.0,5,,completed,curator_backfill_from_committed_aggregates,2.0000,combined-cost-master route weight,0,True,,930,88,,,108,,,,,,,,,2,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=True; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k02_s3_soc5_blk10,CG_SENSITIVITY,,2,3,,5.0,10,,completed,curator_backfill_from_committed_aggregates,2.1893,combined-cost-master route weight,0,True,,1672,455,,,180,,,,,,,,,2,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=False; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k02_s3_soc2.5_blk10,CG_SENSITIVITY,,2,3,,2.5,10,,completed,curator_backfill_from_committed_aggregates,2.1471,combined-cost-master route weight,0,True,,2497,375,,,288,,,,,,,,,2,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=False; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k02_s3_soc1_blk10,CG_SENSITIVITY,,2,3,,1.0,10,,completed,curator_backfill_from_committed_aggregates,2.1400,combined-cost-master route weight,0,True,,4107,358,,,684,,,,,,,,,2,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=False; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k02_s3_soc1_blk5,CG_SENSITIVITY,,2,3,,1.0,5,,completed,curator_backfill_from_committed_aggregates,2.0000,combined-cost-master route weight,0,True,,6636,274,,,1008,,,,,,,,,2,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=True; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k03_s1_soc5_blk10,CG_SENSITIVITY,,3,1,,5.0,10,,completed,curator_backfill_from_committed_aggregates,3.0000,combined-cost-master route weight,0,True,,8270,451,,,216,,,,,,,,,3,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=True; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k03_s1_soc2.5_blk10,CG_SENSITIVITY,,3,1,,2.5,10,,completed,curator_backfill_from_committed_aggregates,3.0000,combined-cost-master route weight,0,True,,9792,388,,,252,,,,,,,,,3,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=True; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k03_s1_soc1_blk10,CG_SENSITIVITY,,3,1,,1.0,10,,completed,curator_backfill_from_committed_aggregates,3.0000,combined-cost-master route weight,0,True,,11948,438,,,792,,,,,,,,,3,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=True; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k03_s2_soc5_blk10,CG_SENSITIVITY,,3,2,,5.0,10,,completed,curator_backfill_from_committed_aggregates,3.3139,combined-cost-master route weight,0,True,,8253,540,,,324,,,,,,,,,3,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=False; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
2026-08-21,ll_20260820c,ladder_lite_direct_array,339db0ab917a3db1b47e63e4debcab3066d0af79,CG_SENSITIVITY,k03_s2_soc2.5_blk10,CG_SENSITIVITY,,3,2,,2.5,10,,completed,curator_backfill_from_committed_aggregates,3.2619,combined-cost-master route weight,0,True,,10346,545,,,720,,,,,,,,,3,analysis/scale_ladder/ll_20260820c/resolution_matrix.csv,392cdba0002c907bf8b2ce2c0beb0e3f8de9a5bc0faee4ebfa397dc4daf984a7,reaches_target=False; cg replicate id not recorded in committed aggregate; wall_s from elapsed_h (2-decimal hours); see records/runs/ll_20260820c/README.md,,,,,,,,,
