arm,kind,from_code,to_code,start_min,end_min,travel_min,energy_kwh,distance_km,source,source_pointer,basis,static_model_comparison
saved_joint_fee5,station_inbound,4808,4808,697,697.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/4,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_outbound,4808,4808,704.0,704.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/4,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_inbound,2190,2190L,759,759.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/5,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_outbound,2190L,2190,800.0,800.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/5,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_inbound,4808,4808,859,859.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/6,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_outbound,4808,4808,866.0,866.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/6,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_inbound,2190,2190L,922,922.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/7,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_outbound,2190L,2190,929.0,929.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/7,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_inbound,4808,4808,992,992.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/8,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_outbound,4808,4808,998.0,998.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/8,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_inbound,2190,2190L,1057,1057.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/9,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_outbound,2190L,2190,1071.0,1071.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/9,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_inbound,4808,4808,1128,1128.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/10,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_outbound,4808,4808,1136.0,1136.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/10,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""13;13"", ""model_lookup"": ""4808->4808;4808->4808;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_inbound,2190,2190L,1189,1189.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/11,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""9;10"", ""model_lookup"": ""2190->2190;2190L->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,station_outbound,2190L,2190,1235.0,1235.0,0.0,0.0,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/11,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 0.0, ""energy_kwh"": 0.0, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/Ref_dict.csv"", ""model_source_lines"": ""10;9"", ""model_lookup"": ""2190L->2190;2190->2190;same-reference zero arc"", ""model_basis"": ""static reference graph: coincident reference nodes""}"
saved_joint_fee5,pull_in,4808,PARX,1290,1297.0,7.0,7.8,,/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/saved_sequence_replay.json,saved_joint_fee5/routes/0/actions/12,static model deadhead; event clocks reconstructed by depart-after-service / leave-station-at-next-trip deadline,"{""travel_min"": 7.0, ""energy_kwh"": 7.8, ""model_source"": ""/Users/nadan/Documents/projects/demandresponse/outputs/week_20260921/cleanup_physics/inputs/par_ref_dhd.csv"", ""model_source_lines"": ""16"", ""model_lookup"": ""symmetric unordered reference pair 4808<->13801"", ""model_basis"": ""static symmetric reference DHD; minimum-duration row""}"
