case,route_index_zero_based,trip_count,shared,target_denominator,coverage,jaccard,union_denominator,source_trip_ids,shared_trip_ids,charge_starts,fleet_size,fleet_overcovered_trips,input_hash
w3_k15_fee5,1,23,2,22,0.09090909090909091,0.046511627906976744,43,"[""494"", ""239"", ""250"", ""901"", ""792"", ""506"", ""510"", ""611"", ""615"", ""619"", ""623"", ""275"", ""429"", ""299"", ""443"", ""315"", ""327"", ""659"", ""663"", ""966"", ""967"", ""339"", ""344""]","[""792"", ""901""]",1,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w6_k10_fee5,6,25,2,22,0.09090909090909091,0.044444444444444446,45,"[""685"", ""775"", ""778"", ""239"", ""250"", ""901"", ""792"", ""598"", ""601"", ""604"", ""607"", ""916"", ""408"", ""429"", ""299"", ""441"", ""313"", ""317"", ""326"", ""331"", ""962"", ""854"", ""855"", ""856"", ""857""]","[""792"", ""901""]",1,10,12,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0
w6_k15_fee0,12,38,2,22,0.09090909090909091,0.034482758620689655,58,"[""489"", ""492"", ""887"", ""890"", ""373"", ""380"", ""207"", ""390"", ""797"", ""910"", ""801"", ""804"", ""401"", ""412"", ""523"", ""526"", ""527"", ""530"", ""638"", ""641"", ""308"", ""314"", ""323"", ""455"", ""330"", ""857"", ""750"", ""751"", ""555"", ""558"", ""559"", ""562"", ""563"", ""566"", ""482"", ""485"", ""877"", ""878""]","[""638"", ""641""]",14,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w3_k10_fee0,6,15,1,22,0.045454545454545456,0.027777777777777776,36,"[""226"", ""581"", ""585"", ""246"", ""432"", ""303"", ""441"", ""445"", ""450"", ""328"", ""333"", ""662"", ""665"", ""339"", ""344""]","[""226""]",5,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w3_k10_fee5,6,15,1,22,0.045454545454545456,0.027777777777777776,36,"[""226"", ""581"", ""585"", ""246"", ""432"", ""303"", ""441"", ""445"", ""450"", ""328"", ""333"", ""662"", ""665"", ""339"", ""344""]","[""226""]",1,10,1,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d
w6_k15_fee0,7,16,1,22,0.045454545454545456,0.02702702702702703,37,"[""495"", ""498"", ""248"", ""396"", ""514"", ""518"", ""408"", ""412"", ""923"", ""926"", ""287"", ""296"", ""730"", ""731"", ""313"", ""317""]","[""396""]",3,15,33,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w3_k15_fee0,13,22,1,22,0.045454545454545456,0.023255813953488372,43,"[""769"", ""685"", ""489"", ""492"", ""887"", ""890"", ""373"", ""380"", ""207"", ""922"", ""927"", ""931"", ""724"", ""725"", ""427"", ""435"", ""308"", ""314"", ""323"", ""455"", ""330"", ""333""]","[""922""]",7,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w6_k15_fee5,11,23,1,22,0.045454545454545456,0.022727272727272728,44,"[""569"", ""572"", ""227"", ""230"", ""370"", ""240"", ""895"", ""896"", ""381"", ""386"", ""598"", ""601"", ""916"", ""408"", ""273"", ""527"", ""292"", ""296"", ""730"", ""731"", ""313"", ""317"", ""459""]","[""459""]",1,15,18,7c28172dd2dc8b5fde8419b6600f8de3d0a587be7f538aa073cffe7696662c95
w3_k15_fee5,5,26,1,22,0.045454545454545456,0.02127659574468085,47,"[""769"", ""685"", ""771"", ""772"", ""365"", ""368"", ""495"", ""498"", ""248"", ""281"", ""933"", ""937"", ""292"", ""296"", ""730"", ""731"", ""313"", ""317"", ""223"", ""459"", ""344"", ""672"", ""675"", ""676"", ""679"", ""680""]","[""459""]",2,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee0,12,37,1,22,0.045454545454545456,0.017241379310344827,58,"[""360"", ""363"", ""491"", ""232"", ""891"", ""783"", ""784"", ""788"", ""789"", ""792"", ""624"", ""627"", ""927"", ""931"", ""724"", ""725"", ""829"", ""832"", ""301"", ""305"", ""311"", ""322"", ""654"", ""657"", ""334"", ""338"", ""968"", ""969"", ""970"", ""971"", ""670"", ""673"", ""347"", ""352"", ""353"", ""356"", ""486""]","[""792""]",14,15,17,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
w3_k15_fee5,12,37,1,22,0.045454545454545456,0.017241379310344827,58,"[""360"", ""363"", ""491"", ""232"", ""891"", ""783"", ""784"", ""788"", ""789"", ""792"", ""624"", ""627"", ""927"", ""931"", ""724"", ""725"", ""829"", ""832"", ""301"", ""305"", ""311"", ""322"", ""654"", ""657"", ""334"", ""338"", ""968"", ""969"", ""970"", ""971"", ""670"", ""673"", ""347"", ""352"", ""353"", ""356"", ""486""]","[""792""]",5,15,18,44d91ad2cd6604441b3ea36dfb77cda9f89901d14755ec30d502887f0efb3490
