duty_id,base_duty_id,trip_count,duty_instance_sha256,continuous_physical_feasible_240_240,physical_replay_status,certificate_scope,certificate_sha256,solver,scipy_version,implementation_sha256,problem_identity_sha256,replay_sha256,objective,terminal_soc_kwh,charge_events
13403,13403,14,545d348c9d905f115df448d626fe96b4af0f2c0bc2a9614323bcd7942a45fbab,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,adffbb0ba0f479a1a1cc73b90474bfa62aaef83e4a0d9a78956b5f7ca03329d6,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,3d6befbc5499b6f3592d2cf3a6566b31ab5ba852f59d97da35789ef5b080684c,1798ee2af0f853d849e78ecec09d3a78907d01602de929b6177c90f108783c10,100070.236511653,0.0,6
13404,13404,17,364b0063aeff6d22a95a93d4ef95201e08e0b31100b8fafc4dd872e0f35b6702,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,0f46c5afc147a7cdc068e803d4eee963e661a09dfd66ac14defad98d4225ee8e,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,cdc93c6dcfe8110eb291f9953c08a30dd6d9e4f367021318008f94e8894afa33,b0184efeeec2f38e3f8a944390d797904522403a3abb02c3562157c2464844fe,100085.804287603,0.0,7
13405,13405,13,2b37f26d202e6fc3ae37155720a5bed4eef9abd84dce4d09aa3d3a46ccd42454,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,9565db23b3b4875cd9c719c84462b69b14d9f7929a3f6cf3c6e1736e7dd6171c,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,60fbec3e32bd83bddf634b14e80bd1e447c952b1ce8a0707ef05dbffe27cb475,886116339f20e924fb7b04aec31976afb6323b253bc287b32a78da1a3cd0b9a8,100094.016671653,0.0,12
13406,13406,14,b6739c46f2fa8ace26940e5b4cd2a7010119c4d58b1cfa25b1fe04f464d941c1,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,4d0531ee323bf02ff71889b96cce802e5dd6f0268a4303495503452be68d6a78,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,54c36c65be30f5a56303d75b5ac685e4bd58199dbd62ff6d8a440cd120b6b6e4,3f32e4b52f397737b3c623523b2e2e877830be4df8f54c2a4524962cbc9e691a,100051.228831653,0.0,3
13407,13407,17,f3c1fac0d6b94fc66de4e424118ab9d6af086dfbd82e447280d1b43fd5a28ae9,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,3200e954e58e8b99049ae2f7e37343fd6109ea07f4d8c7b359fcd24b0c07f633,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,0c9d17e02df0f0526f67a9d9630935ee09b43f6598cd46aa7a5d82812fede7f7,a11711eb0654a5347056ebf9477039db77f4bbef9940cffff82a33af6963ac2b,100080.727903554,0.0,6
13408,13408,11,4533577f0739906ccd41a921c14fe6095a7bebdeea8ffa4ee9ec2b954bed9792,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,10fe5551e6b1422c592dc9ca2e7e95224508d8f41d195147000767f9149e3127,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,345f40ba0397b125e329a69246e7f34afc0ec9b1fc769f02b3fe76af9c72d22a,3b7182aec98c37172ece0f2027f3f2948e3827020bf99738ff1cc1d9d387e0fd,100035.737439752,0.0,2
13409,13409,17,a59b4a623c53e03896fda166693fd2a117591fa77cf0652f2a186fcea47a5ede,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,1d8b32af2b0906bd098f278005717b93f35bd83b9b056bcdf48a159ce3cef7d9,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,97b028d99fe2c2c2c85e784f80d731fd17b9b3f72a10291ba83058bb9d063eaa,8ce9d95f18e8e4dfd39b7a649bb65c1646af02c02d7cfcc9f17bc3312702c360,100095.804287603,0.0,9
13410,13410,15,b5fc8edbb3beb2836b2c0cbeeefda200524a411b6b1b385bb465f69a96bbacf8,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,b90c2ef9cb78733432d6632b5b9f0eb2cfcc4b9345a18ed6636a1ba98a25f4b3,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,264c6ca905bc380ac853434eaaa18246f1df8fc2bffad016d6a957e379d8661d,1803603ace790a2b04fd470b9a9be8084134755945e7abc8392acf638811271c,100077.372287603,0.0,7
13411,13411,14,f69accad27f7ed4b2a88b41ffcac688ffc787f5ac16649f8822d88cd3ed24d56,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,3a288cb059d79d3d2c80eee26c88ed47e23cd87e0b93b4f66d952183fb21dc67,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,415216eefb01020e995196066e5e020382f2077bf8bca96b2137ef311e8f4b9c,bea1109b3afc52d78f2ec839bdf9785d66f4200f9c970e605333aa7bb394152f,100091.228831653,0.0,11
13412,13412,15,7556598977ecc6de476ba8449286b2b7e571e5a999b9e779294ef20928e0c0b0,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,a7b2b334a30b4ef2d4c45a58cf824d101d3d3f7dee8bc1df7051afd95e9b3c06,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,2353bb076af0bf311fbe11b86e05db1c7eb02b29191d764014a0d11f890e1dfa,0237f166f8fa823df544015e7c90186a670d52a4535de8c4f1e11510ff340a85,100062.372287603,0.0,4
13413,13413,15,2de040cf2769c1fe0ed2201dcd9605a6ce734097e551e8872c07fd11df5b0a99,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,0b00af0d5b6fbf25065bdcec477ecf80c23b3c5c343479acb6f268de013b70bf,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,82370f889cb5e99ecb9e2ebda5bb12a57567387509fe8ae833cfa13fcb03df5e,d172db0736e91089ad93e46cba6dad86a27a58f10944fbab9ea50e8ab6a2f691,100092.448671653,0.0,10
13414,13414,12,ca682c883e1421c82bae50568bba7273be816ddb05f6134affc1c2bcc75f482a,True,validated,optimal_continuous_charging_for_fixed_trip_sequence,1d6036c1af75814032170e3ab1f72520deaf6ee37895963cac4d28487b288c78,scipy.optimize.milp/HiGHS,1.13.1,79828f1fd51e132332b7298a17bc772fb6c1ee5af8855f71c8b288088144611f,70710e88cb5ab0f223d5de4571af226a0ce6a6b7ad9518e13978358ce10eb312,b86cf640f45e594ae7da4647c781702ae0c22d8c131ecce78fefe869c26c0b6b,100047.873215702,0.0,4
