SL,ST,ET,EL,Energy used
PC_7,15:10,15:35,GMV_G,18.6380005
PC_7,11:30,11:54,GMV_G,18.6380005
PC_7,13:30,13:55,GMV_G,18.6380005
PC_7,10:50,11:14,GMV_G,18.6380005
PC_7,19:15,19:38,GMV_G,18.6380005
PC_7,7:50,8:14,GMV_G,18.6380005
PC_7,14:50,15:15,GMV_G,18.6380005
PC_7,23:15,23:36,GMV_G,18.6380005
PC_7,10:30,10:54,GMV_G,18.6380005
PC_7,4:45,5:06,GMV_G,18.6380005
PC_7,9:30,9:54,GMV_G,18.6380005
PC_7,15:30,15:56,GMV_G,18.6380005
PC_7,12:30,12:54,GMV_G,18.6380005
PC_7,5:45,6:06,GMV_G,18.6380005
PC_7,17:10,17:36,GMV_G,18.6380005
PC_7,11:10,11:34,GMV_G,18.6380005
PC_7,6:10,6:31,GMV_G,18.6380005
PC_7,12:50,13:14,GMV_G,18.6380005
PC_7,9:10,9:34,GMV_G,18.6380005
PC_7,6:50,7:14,GMV_G,18.6380005
PC_7,20:15,20:38,GMV_G,18.6380005
PC_7,7:10,7:34,GMV_G,18.6380005
PC_7,8:30,8:54,GMV_G,18.6380005
PC_7,8:30,8:54,GMV_G,18.6380005
PC_7,18:17,18:34,JON_B,10.2790003
PC_7,6:37,6:54,JON_B,10.2790003
PC_7,7:57,8:14,JON_B,10.2790003
PC_7,24:57,25:14,JON_B,10.2790003
PC_7,17:37,17:54,JON_B,10.2790003
PC_7,8:57,9:14,JON_B,10.2790003
PC_7,12:57,13:14,JON_B,10.2790003
JON_A,15:13,15:27,PC_9,12.342
JON_A,12:04,12:17,PC_9,12.342
JON_A,18:34,18:47,PC_9,12.342
JON_A,10:04,10:17,PC_9,12.342
JON_A,24:45,24:57,PC_9,12.342
JON_A,16:53,17:07,PC_9,12.342
JON_A,9:03,9:17,PC_9,12.342
JON_A,20:29,20:42,PC_9,12.342
JON_A,18:59,19:12,PC_9,12.342
JON_A,9:34,9:47,PC_9,12.342
JON_A,15:53,16:07,PC_9,12.342
JON_A,4:59,5:12,PC_9,12.342
JON_A,16:13,16:27,PC_9,12.342
JON_A,11:04,11:17,PC_9,12.342
JON_A,22:00,22:12,PC_9,12.342
JON_A,5:29,5:42,PC_9,12.342
JON_A,7:13,7:27,PC_9,12.342
JON_A,14:33,14:47,PC_9,12.342
JON_A,6:13,6:27,PC_9,12.342
JON_A,6:13,6:27,PC_9,12.342
JON_A,18:13,18:27,PC_9,12.342
JON_A,21:00,21:12,PC_9,12.342
JON_A,17:13,17:27,PC_9,12.342
JON_A,23:00,23:12,PC_9,12.342
HED_D,9:32,9:57,PC_5,19.8619995
HED_D,9:53,10:17,PC_5,19.8619995
JON_A,16:05,16:17,PC_7,10.2659998
JON_A,18:05,18:17,PC_7,10.2659998
JON_A,8:45,8:57,PC_7,10.2659998
JON_A,17:25,17:37,PC_7,10.2659998
HED_D,10:52,11:17,PC_5,19.8619995
HED_D,15:49,16:17,PC_5,19.8619995
HED_D,17:52,18:17,PC_5,19.8619995
HED_D,9:12,9:37,PC_5,19.8619995
HED_D,17:41,18:07,PC_5,19.8619995
HED_D,21:33,21:57,PC_5,19.8619995
HED_D,19:03,19:27,PC_5,19.8619995
HED_D,16:08,16:37,PC_5,19.8619995
JON_A,17:45,17:57,PC_7,10.2659998
JON_A,7:05,7:17,PC_7,10.2659998
JON_A,10:25,10:37,PC_7,10.2659998
JON_A,10:45,10:57,PC_7,10.2659998
JON_A,16:45,16:57,PC_7,10.2659998
JON_A,7:25,7:37,PC_7,10.2659998
JON_A,11:25,11:37,PC_7,10.2659998
JON_A,20:15,20:27,PC_7,10.2659998
JON_A,23:45,23:57,PC_7,10.2659998
JON_A,20:45,20:57,PC_7,10.2659998
JON_A,15:05,15:17,PC_7,10.2659998
JON_A,22:15,22:27,PC_7,10.2659998
JON_A,23:15,23:27,PC_7,10.2659998
JON_A,13:25,13:37,PC_7,10.2659998
JON_A,18:25,18:37,PC_7,10.2659998
JON_A,13:45,13:57,PC_7,10.2659998
JON_A,19:45,19:57,PC_7,10.2659998
JON_A,7:45,7:57,PC_7,10.2659998
JON_A,5:45,5:57,PC_7,10.2659998
JON_A,6:05,6:17,PC_7,10.2659998
JON_A,9:25,9:37,PC_7,10.2659998
JON_A,8:25,8:37,PC_7,10.2659998
JON_A,9:05,9:17,PC_7,10.2659998
JON_A,11:45,11:57,PC_7,10.2659998
JON_A,8:05,8:17,PC_7,10.2659998
JON_A,14:45,14:57,PC_7,10.2659998
JON_A,9:45,9:57,PC_7,10.2659998
JON_A,15:45,15:57,PC_7,10.2659998
13329,8:10,8:30,6480,23.4120007
PC_3,8:57,9:13,13329,9.5710001
PC_3,10:57,11:13,13329,9.5710001
PC_3,12:27,12:43,13329,9.5710001
PC_3,14:57,15:13,13329,9.5710001
PC_3,19:27,19:43,13329,9.5710001
PC_3,17:27,17:43,13329,9.5710001
PC_3,23:57,24:13,13329,9.5710001
PC_3,13:27,13:43,13329,9.5710001
PC_3,22:57,23:13,13329,9.5710001
PC_3,16:57,17:13,13329,9.5710001
PC_3,17:57,18:13,13329,9.5710001
PC_7,24:15,24:29,ÖS_J,11.6899996
PC_3,18:57,19:13,13329,9.5710001
PC_5,14:17,14:48,HED_E,20.1809998
PC_6,9:57,10:23,ÖS_J,17.1669998
PC_6,12:57,13:23,ÖS_J,17.1669998
6480,17:40,18:01,13330,23.8880005
PC_6,22:57,23:22,ÖS_J,17.1669998
PC_6,11:27,11:53,ÖS_J,17.1669998
GMV_H,11:02,11:27,PC_7,18.3059998
GMV_H,5:18,5:42,PC_7,18.3059998
GMV_H,5:43,6:07,PC_7,18.3059998
GMV_H,13:02,13:27,PC_7,18.3059998
GMV_H,14:02,14:27,PC_7,18.3059998
GMV_H,13:42,14:07,PC_7,18.3059998
GMV_H,7:00,7:27,PC_7,18.3059998
GMV_H,11:42,12:07,PC_7,18.3059998
GMV_H,7:00,7:27,PC_7,18.3059998
GMV_H,12:42,13:07,PC_7,18.3059998
GMV_H,6:43,7:07,PC_7,18.3059998
GMV_H,13:22,13:47,PC_7,18.3059998
GMV_H,18:22,18:47,PC_7,18.3059998
GMV_H,16:40,17:07,PC_7,18.3059998
GMV_H,7:20,7:47,PC_7,18.3059998
GMV_H,19:47,20:12,PC_7,18.3059998
GMV_H,7:40,8:07,PC_7,18.3059998
GMV_H,19:17,19:42,PC_7,18.3059998
GMV_H,14:42,15:07,PC_7,18.3059998
GMV_H,15:20,15:47,PC_7,18.3059998
GMV_H,20:47,21:12,PC_7,18.3059998
GMV_H,16:00,16:27,PC_7,18.3059998
