cell,stage,job_id,array_job_id,array_task_id,restart,state,returncode,started_utc,finished_utc,receipt_path,receipt_sha256
mix1_spatial_4808_x0p50,fresh_cg,499014,498917,36,0,running,,2026-09-25T22:17:52.530887+00:00,,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_4808_x0p50/fresh_cg/job499014_r0/attempt.json,b6976be14a7e6f494b2f0bc3d01dde06b0e531aa5b47b2dfea6bb0e99d7b159a
mix1_spatial_4808_x0p50,fresh_cg,499014,498917,36,1,failed,3,2026-09-26T01:41:44.273925+00:00,2026-09-26T06:06:50.987509+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_4808_x0p50/fresh_cg/job499014_r1/attempt.json,d60abf5a7f7fd5a86f7d8254cf06a79d3f05d1a28e61fd0e9ba00fadbcdbc576
mix1_spatial_4808_x2p00,cleanup,498960,,,0,finished,0,2026-09-26T03:56:56.608145+00:00,2026-09-26T05:08:58.747662+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_4808_x2p00/cleanup/job498960_r0/attempt.json,dcff7029e087ca55ea7c850ad4a6e7e300d1b86b3318d7187be291ddb2cf66a4
mix1_spatial_4808_x2p00,fixed_duty,499092,498918,41,0,finished,0,2026-09-25T22:17:56.465670+00:00,2026-09-25T23:24:46.060837+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_4808_x2p00/fixed_duty/job499092_r0/attempt.json,9bd558c48e55b3e4a9dd2414d373ec0db3bb4b661cc82861d3b2e17f6c7e0cde
mix1_spatial_4808_x2p00,fresh_cg_fallback,498960,,,0,finished,0,2026-09-26T02:54:35.303470+00:00,2026-09-26T03:56:52.426443+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_4808_x2p00/fresh_cg/job498960_r0/attempt.json,3b3e0d070776c49a5123f34dca496bd57f01dfb00e96167d87094180205b2490
mix1_spatial_4808_x2p00,fresh_cg,499019,498917,41,0,failed,3,2026-09-25T22:17:52.190000+00:00,2026-09-26T02:54:05.173824+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_4808_x2p00/fresh_cg/job499019_r0/attempt.json,1d5a89e85dcdc71b6d2342c91ba1c75f96c4d60f1d8e0a09d2376971ba1cd8de
mix1_spatial_7880C_x0p50,cleanup,498958,,,0,finished,0,2026-09-26T01:13:01.760851+00:00,2026-09-26T01:23:51.842801+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_7880C_x0p50/cleanup/job498958_r0/attempt.json,3410a7fbbfa393889e0708d63d1bdef162dc2d10151435c0b3502dc855540a47
mix1_spatial_7880C_x0p50,fixed_duty,499090,498918,39,0,finished,0,2026-09-25T22:17:56.460329+00:00,2026-09-25T22:23:57.005725+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_7880C_x0p50/fixed_duty/job499090_r0/attempt.json,231202400dd86a1bb5a3b7fe44ddd25bc5e44e477753e382b85e11c39db09689
mix1_spatial_7880C_x0p50,fresh_cg_fallback,498958,,,0,finished,0,2026-09-26T01:11:41.295305+00:00,2026-09-26T01:12:59.446352+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_7880C_x0p50/fresh_cg/job498958_r0/attempt.json,362833cfa56cc0378131b81a97ce285ddda5877ebdbd78127b8c84d77945d90a
mix1_spatial_7880C_x0p50,fresh_cg,499017,498917,39,0,failed,3,2026-09-25T22:17:52.208674+00:00,2026-09-26T01:11:12.582142+00:00,/home/nc437/ladder-lite/spatial_tariff_expansion_20260925/results/mix1_spatial_7880C_x0p50/fresh_cg/job499017_r0/attempt.json,4d5cdf91f4204e71b9da2dfa5dde113a32927a4b0ed35ba73ec8b4bb8e8fd5ce
