tariff,terminal_policy,arm,matched_feasible_duties,station,start_min,end_min,active_buses,load_kW
peak12,>= reserve,uncapped_arrival,39,3127L_0,968.0,978.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,983.0,988.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,989.0,992.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,992.0,995.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,995.0,998.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1009.0,1019.613249275,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1023.0,1024.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1024.0,1025.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1025.0,1035.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1042.0,1044.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1044.0,1045.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1045.0,1048.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1048.0,1050.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1050.0,1054.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1054.0,1055.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1055.0,1056.7459991,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1061.0,1068.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1068.0,1072.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1072.0,1076.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1081.0,1088.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1088.0,1089.4287498,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1089.4287498,1092.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1101.0,1108.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1108.0,1112.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1112.0,1119.7299995,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1121.0,1126.2,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1127.0,1132.2,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1141.0,1143.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1147.0,1152.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1161.0,1166.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1166.0,1173.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1173.0,1183.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1186.0,1196.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1196.0,1203.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1203.0,1212.5177498,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1216.0,1225.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1225.0,1230.0994997,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1230.0994997,1233.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1246.0,1255.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1255.0,1263.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1263.0,1273.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1275.0,1285.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1285.0,1293.0,2,480.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1293.0,1299.185249525,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1304.0,1315.0,1,240.0
peak12,>= reserve,uncapped_arrival,39,3127L_0,1315.0,1323.0,2,480.0
