duty,trip_count,tariff,terminal_policy,event_cap_N,matched_feasible,infeasible_under_cap,uncapped_arrival_feasible,uncapped_arrival_reason,uncapped_arrival_charging_cost,uncapped_arrival_charge_events,uncapped_arrival_charge_starts,uncapped_arrival_peak_kW,uncapped_arrival_charger_concurrency_max,uncapped_arrival_total_kwh,uncapped_arrival_terminal_soc_kwh,uncapped_arrival_replay_ok,uncapped_optimized_feasible,uncapped_optimized_reason,uncapped_optimized_charging_cost,uncapped_optimized_charge_events,uncapped_optimized_charge_starts,uncapped_optimized_peak_kW,uncapped_optimized_charger_concurrency_max,uncapped_optimized_total_kwh,uncapped_optimized_terminal_soc_kwh,uncapped_optimized_replay_ok,capped_arrival_feasible,capped_arrival_reason,capped_arrival_charging_cost,capped_arrival_charge_events,capped_arrival_charge_starts,capped_arrival_peak_kW,capped_arrival_charger_concurrency_max,capped_arrival_total_kwh,capped_arrival_terminal_soc_kwh,capped_arrival_replay_ok,capped_optimized_feasible,capped_optimized_reason,capped_optimized_charging_cost,capped_optimized_charge_events,capped_optimized_charge_starts,capped_optimized_peak_kW,capped_optimized_charger_concurrency_max,capped_optimized_total_kwh,capped_optimized_terminal_soc_kwh,capped_optimized_replay_ok,uncapped_timing_value,uncapped_timing_pct,capped_timing_value,capped_timing_pct,cap_cost,cap_cost_pct_of_uncapped_arrival
13410,15,peak12,>= reserve,13,True,False,True,,40.122101781105634,11,11,240.0,1,427.13999599999994,4.440892098500626e-15,True,True,,38.88295819538134,12,12,240.0,1,427.1399959999999,4.440892098500626e-15,True,True,,40.122101781105634,11,11,240.0,1,427.13999599999994,4.440892098500626e-15,True,True,,38.88295819538134,11,11,240.0,1,427.1399959999999,4.440892098500626e-15,True,1.2391435857242925,3.088431389972277,1.2391435857242925,3.088431389972277,0.0,0.0
13411,14,peak12,>= reserve,13,True,False,True,,51.09386727060999,13,13,240.0,1,365.20999649999993,0.0,True,True,,51.07453423550963,13,13,240.0,1,365.20999649999993,0.0,True,True,,51.09386727060999,13,13,240.0,1,365.20999649999993,0.0,True,True,,51.07453423550963,13,13,240.0,1,365.20999649999993,0.0,True,0.019333035100359552,0.037838269313155364,0.019333035100359552,0.037838269313155364,0.0,0.0
13412,15,peak12,>= reserve,12,True,False,True,,33.19802869923893,12,12,240.0,1,427.13999599999994,0.0,True,True,,32.94020710774004,11,11,240.0,1,427.13999599999994,0.0,True,True,,33.19802869923893,11,11,240.0,1,427.13999599999994,0.0,True,True,,32.94020710774004,11,11,240.0,1,427.13999599999994,0.0,True,0.25782159149889594,0.776617171563583,0.25782159149889594,0.776617171563583,0.0,0.0
13413,15,peak12,>= reserve,14,True,False,True,,41.76328107792841,13,13,240.0,1,427.90999650000003,4.263256414560601e-14,True,True,,41.59704305570868,13,13,240.0,1,427.90999650000003,4.263256414560601e-14,True,True,,41.76328107792841,13,13,240.0,1,427.90999650000003,4.263256414560601e-14,True,True,,41.59704305570868,13,13,240.0,1,427.90999650000003,4.263256414560601e-14,True,0.16623802221972994,0.3980482805207216,0.16623802221972994,0.3980482805207216,0.0,0.0
13414,12,peak12,>= reserve,9,True,False,True,,29.779097801185713,9,9,240.0,1,280.97999699999997,1.7763568394002505e-15,True,True,,29.402979653974583,9,9,240.0,1,280.97999699999997,0.0,True,True,,29.779097801185713,9,9,240.0,1,280.97999699999997,0.0,True,True,,29.402979653974583,9,9,240.0,1,280.97999699999997,0.0,True,0.37611814721113035,1.2630273412653705,0.37611814721113035,1.2630273412653705,0.0,0.0
13301,36,peak12,>= initial,7,True,False,True,,35.739079057016895,10,10,240.0,1,650.3349978599999,240.0,True,True,,35.7390790570169,10,10,240.0,1,650.33499786,240.0,True,True,,40.108365123416114,7,7,240.0,1,650.3349978599999,240.0,True,True,,40.108365123416114,7,7,240.0,1,650.3349978599999,239.99999999999997,True,-7.105427357601002e-15,-1.9881394666788275e-14,0.0,0.0,4.369286066399219,12.2255138679668
13302,50,peak12,>= initial,13,False,True,False,HiGHS status 2: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,False,False,HiGHS status 2: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,False,False,HiGHS status 2: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,False,False,HiGHS status 2: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,False,,,,,,
13303,54,peak12,>= initial,10,False,True,True,,73.4274292617617,17,17,240.0,1,749.7189957,240.0,True,True,,73.4274292617617,17,17,240.0,1,749.7189957,240.0,True,False,HiGHS status 2: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,False,False,HiGHS status 2: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,False,,,,,,
13304,37,peak12,>= initial,9,False,True,False,HiGHS status 2: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,False,False,HiGHS status 2: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,False,False,HiGHS status 2: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,False,False,HiGHS status 2: The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,,,,,,False,,,,,,
13305,30,peak12,>= initial,8,True,False,True,,42.24445457630649,8,8,240.0,1,478.76299674,240.0,True,True,,34.91852677704187,8,8,240.0,1,478.7629967400002,240.0,True,True,,42.24445457630649,8,8,240.0,1,478.76299674,240.0,True,True,,34.918526777041855,8,8,240.0,1,478.76299674,240.0,True,7.325927799264619,17.34175023145757,7.325927799264633,17.341750231457606,0.0,0.0
