case,target_buses,integer_buses,saved_pool_fleet_bound,fleet_proved_in_saved_pool,cg_minutes,weighted_lp_objective,fractional_route_weight,cg_pricing_certified,cg_stop_reason,physical_route_replay,duplicate_removal_validated,shared_capacity_validated,cg_source,mip_source,mip_sha256
w4_k11,11,12,11.000000000000089,False,59.421039104252124,1100462.8646986168,10.99999999999997,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w4_k11/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w4_k11/mip/949720_r0/result.json,4b873040459d9bf389c0cc910ef61422855667a402e054e6ee886f4ab751a235
w4_k12,12,13,12.000000000000082,False,68.19239985609893,1200505.600698624,12.000000000000043,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w4_k12/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w4_k12/mip/949722_r0/result.json,308bdd9a11c96077cbe8e5061ddd0a1804bfb3fe9acf95ea00d5727809155135
w4_k13,13,15,13.000000000000206,False,88.5650774006499,1300530.3324457684,13.000000000000073,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w4_k13/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w4_k13/mip/949724_r0/result.json,3d7f243e008ff0b28967c3903454087dfe38b714fe23e05caeca47fefae36034
w5_k11,11,12,11.00000000000008,False,70.46116025556888,1100522.2275381838,11.000000000000059,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w5_k11/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w5_k11/mip/949730_r0/result.json,c880784e6d82c587c9dcfaca2d96e2df07c4405910883529a7a6e662edf21f27
w5_k12,12,13,12.000000000000068,False,109.19537733322552,1200576.6436884669,11.99999999999998,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w5_k12/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w5_k12/mip/949732_r0/result.json,7c48698c599dc5edb970be95ae1666c5ddd2c8ab46b2bdc2b2cfc3a805876074
w5_k13,13,14,13.000000000000012,False,134.57250519135656,1300625.3665881115,12.9999999999998,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w5_k13/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w5_k13/mip/949734_r0/result.json,ac22763c30dac77540e6e3c09ed342f7d95bd3b02bf984eaa4505326ddcd627d
w6_k11,11,11,11.0,True,32.45629696778487,1100399.0287869393,11.000000000000009,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w6_k11/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w6_k11/mip/949740_r0/result.json,ea1cc46f860ff4f0ffb9c0334a5feaf1337093d4e7094e19a3ff5d1cb7dac036
w6_k12,12,13,12.00000000000002,False,64.6088104746809,1200464.54775349,11.9999999999999,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w6_k12/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w6_k12/mip/949742_r0/result.json,e4b654220ba80cc59d6ab73d2dddb4b75e36b5efd074e5c4c7075e08919c4586
w6_k13,13,15,13.000000000000027,False,117.08994579641536,1300532.040865823,13.000000000000238,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w6_k13/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w6_k13/mip/949744_r0/result.json,022a614ffb4a64583959ed43a71716f60115b12274084f7613fb20885f37dbd3
w6_k14,14,16,14.00000000000006,False,136.9098922712224,1400578.3995497236,13.999999999999982,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w6_k14/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w6_k14/mip/949746_r0/result.json,20b1a56ce8e465bc5ea02b2fc1bed43c599a3960c9df61b5f5710e034db80fc1
