case,route_order,route_index,station,station_base,start_min,end_min,kwh
"Practice 43-bus, g=300",16,2017,3127L_0,3127L,608.0,662.0347997,270.1739985
"Practice 43-bus, g=300",16,2017,3127L_0,3127L,862.0,875.62379944,68.1189972
"Practice 43-bus, g=300",16,2017,7880C_0,7880C,1275.0,1309.29239966,171.4619983
"Practice 43-bus, g=300",17,2354,PARX_0,PARX,0.0,42.0,210.0
"Practice 43-bus, g=300",17,2354,PARX_0,PARX,622.0,680.71359968,293.5679984
"Practice 43-bus, g=300",17,2354,3127L_0,3127L,842.0,853.1095998,55.54799900000003
"Practice 43-bus, g=300",17,2354,3127L_0,3127L,989.0,1012.03559952,115.1779976
"Practice 43-bus, g=300",18,2552,PARX_0,PARX,0.0,30.0,150.0
"Practice 43-bus, g=300",18,2552,JON_A_0,JON_A,634.0,692.5239993600001,292.6199968
"Practice 43-bus, g=300",18,2552,3127L_0,3127L,882.0,890.9069997,44.53499849999994
"Practice 43-bus, g=300",18,2552,7880C_0,7880C,1222.0,1265.0139994,215.069997
"Practice 43-bus, g=300",19,2602,PARX_0,PARX,0.0,30.0,150.0
"Practice 43-bus, g=300",19,2602,PARX_0,PARX,681.0,739.45199956,292.2599978
"Practice 43-bus, g=300",19,2602,JON_A_0,JON_A,1334.0,1355.35719948,106.78599740000001
"Practice 43-bus, g=300",20,2988,PARX_0,PARX,0.0,30.0,150.0
"Practice 43-bus, g=300",20,2988,JON_A_0,JON_A,654.0,713.84759954,299.2379977
"Practice 43-bus, g=300",20,2988,7880C_0,7880C,916.0,929.07899998,65.39499989999999
"Practice 43-bus, g=300",21,3044,PARX_0,PARX,0.0,42.0,210.0
"Practice 43-bus, g=300",21,3044,7880C_0,7880C,634.0,693.9117998199999,299.5589991
"Practice 43-bus, g=300",21,3044,3127L_0,3127L,882.0,893.42559994,57.127999699999975
"Practice 43-bus, g=300",22,3301,PARX_0,PARX,0.0,36.0,180.0
"Practice 43-bus, g=300",22,3301,PARX_0,PARX,682.0,736.4369994,272.184997
"Practice 43-bus, g=300",22,3301,JON_A_0,JON_A,839.0,849.78819992,53.9409996
"Practice 43-bus, g=300",22,3301,PARX_0,PARX,1030.0,1033.06080014,15.30400069999996
"Practice 43-bus, g=300",23,3522,PARX_0,PARX,0.0,30.0,150.0
"Practice 43-bus, g=300",23,3522,JON_A_0,JON_A,694.0,752.094799926,290.47399963
"Practice 43-bus, g=300",24,3774,PARX_0,PARX,0.0,30.0,150.0
"Practice 43-bus, g=300",24,3774,PARX_0,PARX,712.0,766.67699958,273.3849979
