station,minute,compressed_row
2190L,1220,139
2190L,1221,140
2190L,1222,141
2190L,1223,142
2190L,1224,143
2190L,1225,144
2190L,1226,145
2190L,1227,145
2190L,1228,145
2190L,1229,145
2190L,1230,145
2190L,1231,145
2190L,1232,145
2190L,1233,145
2190L,1234,145
4808,319,146
4808,320,146
4808,321,146
4808,322,146
4808,323,146
4808,324,146
4808,325,147
4808,326,147
4808,327,147
4808,328,147
4808,329,147
4808,330,147
4808,331,147
4808,332,147
4808,333,147
4808,334,147
4808,335,147
4808,336,148
4808,337,148
4808,338,148
4808,339,148
4808,340,148
4808,341,148
4808,342,148
4808,343,148
4808,344,148
4808,345,148
4808,346,149
4808,347,149
4808,348,149
4808,349,149
4808,350,149
4808,351,149
4808,352,149
4808,353,149
4808,354,149
4808,355,149
4808,356,149
4808,357,149
4808,358,149
4808,359,149
4808,360,149
4808,361,149
4808,362,149
4808,363,149
4808,364,149
4808,365,149
4808,366,149
4808,367,149
4808,368,149
4808,369,149
4808,370,149
4808,371,149
4808,372,149
4808,373,149
4808,374,149
4808,375,149
4808,376,150
4808,377,150
4808,378,150
4808,379,150
4808,380,150
4808,381,150
4808,382,150
4808,383,150
4808,384,150
4808,385,150
4808,386,151
4808,387,151
4808,388,151
4808,389,151
4808,390,151
4808,391,151
4808,392,151
4808,393,151
4808,394,151
4808,395,151
4808,396,151
4808,397,151
4808,398,152
4808,399,152
4808,400,152
4808,401,152
4808,402,152
4808,403,152
4808,404,152
4808,405,152
4808,406,152
4808,407,152
4808,408,152
4808,409,153
4808,410,153
4808,411,154
4808,412,154
4808,413,154
4808,414,154
4808,415,154
4808,416,154
4808,417,154
4808,418,154
4808,419,154
4808,420,154
4808,421,154
4808,422,154
4808,423,154
4808,424,154
4808,425,154
4808,426,154
4808,427,154
4808,428,154
4808,429,155
4808,430,155
4808,431,155
4808,432,155
4808,433,155
4808,434,155
4808,435,155
4808,436,155
4808,437,155
4808,438,155
4808,439,155
4808,440,156
4808,441,156
4808,442,157
4808,443,157
4808,444,157
4808,445,157
4808,446,157
4808,447,157
4808,448,157
4808,449,157
4808,450,157
4808,451,157
4808,452,157
4808,453,157
4808,454,157
4808,455,158
4808,456,158
4808,457,158
4808,458,159
4808,459,159
4808,460,159
4808,461,159
4808,462,160
4808,463,160
4808,464,160
4808,465,161
4808,466,161
4808,467,161
4808,468,161
4808,469,161
4808,470,161
4808,471,161
4808,472,162
4808,473,162
4808,474,162
4808,475,162
4808,476,162
4808,477,162
4808,478,162
4808,479,162
4808,480,162
4808,481,162
4808,482,162
4808,483,162
4808,484,162
4808,485,163
4808,486,163
4808,487,163
4808,488,163
4808,489,163
4808,490,163
4808,491,164
4808,492,164
4808,493,164
4808,494,164
4808,495,164
4808,496,164
4808,497,164
4808,498,164
4808,499,164
4808,500,164
4808,501,164
4808,502,164
4808,503,164
4808,504,164
4808,505,164
4808,506,164
4808,507,164
4808,508,164
4808,509,164
4808,510,164
4808,511,164
4808,512,164
4808,513,164
4808,514,164
4808,515,164
4808,516,164
4808,517,165
4808,518,165
4808,519,165
4808,520,166
4808,521,166
4808,522,167
4808,523,167
4808,524,167
4808,525,167
4808,526,167
4808,527,167
4808,528,168
4808,529,168
4808,530,168
4808,531,168
4808,532,168
4808,533,168
4808,534,168
4808,535,168
4808,536,168
