route_index,trips,trip_count,original_cost,fleet_objective_coefficient,charging_sessions,profile,charge_policy
310,5;10;13;18;21;24;27;30;34,9,1.0,1,8,18E1,early_disconnect
311,3;7;9;13;16;23;26;29;32,9,1.0,1,9,18E1,
312,3;7;9;13;16;23;26;29;32,9,1.0,1,8,18E1,early_disconnect
313,4;7;11;15;18;21;24;28;31,9,1.0,1,9,18E1,
314,4;7;11;15;18;21;24;28;31,9,1.0,1,8,18E1,early_disconnect
315,4;7;9;12;15;18;20;22;25;28;31,11,1.0,1,9,18E1,
316,4;7;9;12;15;18;20;22;25;28;31,11,1.0,1,10,18E1,early_disconnect
317,1;5;9;15;19;22;26;32;34,9,1.0,1,9,18E1,
318,1;5;9;15;19;22;26;32;34,9,1.0,1,8,18E1,early_disconnect
319,2;4;7;9;12;17;20;24;28;31;33,11,1.0,1,11,18E1,
320,2;4;7;9;12;17;20;24;28;31;33,11,1.0,1,10,18E1,early_disconnect
