case,arm,route_index,route_schedule_sha256,scenario,source_groups,mapping,unmapped_trips,trip_count,battery_kwh,initial_kwh,reserve_kwh,terminal_floor_kwh,charge_kw,min_soc_kwh,max_soc_kwh,terminal_kwh,below_reserve,over_capacity,terminal_violation,frozen_schedule_valid,minimum_extra_initial_energy_kwh,source
c1_k08,base,5,a273d682bfa4c5cc7f34f366ef7d9b67f7db69f132925584c379ddbbc604e2d2,all_18E2_capacity_sensitivity,18E2,homogeneous_source_group,0,24,239.01,239.01,0,,240,9.668002099999939,239.01,9.668002099999939,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,5,a273d682bfa4c5cc7f34f366ef7d9b67f7db69f132925584c379ddbbc604e2d2,all_18E1_capacity_sensitivity,18E2,homogeneous_source_group,0,24,236.44,236.44,0,,240,7.098002099999945,236.44,7.098002099999945,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,5,a273d682bfa4c5cc7f34f366ef7d9b67f7db69f132925584c379ddbbc604e2d2,source_group_or_conservative_mixed,18E2,homogeneous_source_group,0,24,239.01,239.01,0,,240,9.668002099999939,239.01,9.668002099999939,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,6,0dfecf5a809360817ad0c244d41b4826fbbcafe7f44d698ba9799978c4894c86,saved_240_control,18E2,homogeneous_source_group,0,35,240.0,240.0,0,,240,7.3200027999999975,240.0,18.712002840000025,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,6,0dfecf5a809360817ad0c244d41b4826fbbcafe7f44d698ba9799978c4894c86,all_18E2_capacity_sensitivity,18E2,homogeneous_source_group,0,35,239.01,239.01,0,,240,6.330002799999988,239.01,17.722002840000016,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,6,0dfecf5a809360817ad0c244d41b4826fbbcafe7f44d698ba9799978c4894c86,all_18E1_capacity_sensitivity,18E2,homogeneous_source_group,0,35,236.44,236.44,0,,240,3.760002799999995,236.44,15.152002840000023,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,6,0dfecf5a809360817ad0c244d41b4826fbbcafe7f44d698ba9799978c4894c86,source_group_or_conservative_mixed,18E2,homogeneous_source_group,0,35,239.01,239.01,0,,240,6.330002799999988,239.01,17.722002840000016,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,7,bf408a16c0d2f1410a3325c1fef4484824ade6243bff894d359706112777cfd9,saved_240_control,18E2,homogeneous_source_group,0,37,240.0,240.0,0,,240,10.885000639999987,240.0,13.049001979999986,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,7,bf408a16c0d2f1410a3325c1fef4484824ade6243bff894d359706112777cfd9,all_18E2_capacity_sensitivity,18E2,homogeneous_source_group,0,37,239.01,239.01,0,,240,9.895000639999978,239.01,12.059001979999977,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,7,bf408a16c0d2f1410a3325c1fef4484824ade6243bff894d359706112777cfd9,all_18E1_capacity_sensitivity,18E2,homogeneous_source_group,0,37,236.44,236.44,0,,240,7.325000639999985,236.44,9.489001979999983,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,7,bf408a16c0d2f1410a3325c1fef4484824ade6243bff894d359706112777cfd9,source_group_or_conservative_mixed,18E2,homogeneous_source_group,0,37,239.01,239.01,0,,240,9.895000639999978,239.01,12.059001979999977,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,8,84832daa3573f9d8533a521a89cfa692a1237f6b5f8df4e34afc24a6a54a78d3,saved_240_control,18E1;18E2,mixed_source_groups_conservative_18E1,0,21,240.0,240.0,0,,240,0.470000500000026,240.0,11.471002999999996,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,8,84832daa3573f9d8533a521a89cfa692a1237f6b5f8df4e34afc24a6a54a78d3,all_18E2_capacity_sensitivity,18E1;18E2,mixed_source_groups_conservative_18E1,0,21,239.01,239.01,0,,240,-0.5199994999999831,239.01,10.481002999999987,True,False,False,False,0.5199994999999831,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,8,84832daa3573f9d8533a521a89cfa692a1237f6b5f8df4e34afc24a6a54a78d3,all_18E1_capacity_sensitivity,18E1;18E2,mixed_source_groups_conservative_18E1,0,21,236.44,236.44,0,,240,-3.0899994999999763,236.44000000000005,7.911002999999994,True,False,False,False,3.0899994999999763,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,base,8,84832daa3573f9d8533a521a89cfa692a1237f6b5f8df4e34afc24a6a54a78d3,source_group_or_conservative_mixed,18E1;18E2,mixed_source_groups_conservative_18E1,0,21,236.44,236.44,0,,240,-3.0899994999999763,236.44000000000005,7.911002999999994,True,False,False,False,3.0899994999999763,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_base_result.json
c1_k08,warm,0,6c98a55b8bb3c8aaba4ec2aa4cffbb7fc8d0eaa70f126cc494843a147543ad5d,saved_240_control,18E2,homogeneous_source_group,0,31,240.0,240.0,0,,240,3.961001400000015,240.0,12.865003100000024,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_warm_result.json
c1_k08,warm,0,6c98a55b8bb3c8aaba4ec2aa4cffbb7fc8d0eaa70f126cc494843a147543ad5d,all_18E2_capacity_sensitivity,18E2,homogeneous_source_group,0,31,239.01,239.01,0,,240,2.971001400000006,239.01,11.875003100000015,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_warm_result.json
c1_k08,warm,0,6c98a55b8bb3c8aaba4ec2aa4cffbb7fc8d0eaa70f126cc494843a147543ad5d,all_18E1_capacity_sensitivity,18E2,homogeneous_source_group,0,31,236.44,236.44,0,,240,0.4010014000000126,236.44,9.305003100000022,False,False,False,True,0,outputs/research_followup_20260921/battery_rounding/sources/c1_k08_warm_result.json
