cell_id,scale,selection_replicate,duty_id,trip_count,known_partition_continuously_feasible,known_partition_in_primary_expanded_space,fixed_sequence_pricing_certified,first_feasible_soc_step,first_feasible_block_min,nonrepresentability_reason,primary_soc_step,primary_block_min,adaptive_sensitivity_run,instance_file_sha256,ordered_trip_id_set_sha256,solver_local_trip_index_sha256,ordered_trip_sequence_sha256,trip_identity_schema
k08_s1,8,1,13318,33,True,False,False,,,no fixed-duty transition 139->146;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,0e1ac0596751786596cda622bbd09c5a1f66ba0c39e12a9bb8f70dc4cc7de2c7,b056d18c47dd4cf03c7444764f00d409c6a61b3612e28399330be5d996c79ac1,b1faaf670b8b8fdf42b4fbaae2b904d9cfbd63f8be21534560fa4c3b2e7fde5b,evsp-dr-trip-identity-v1
k08_s1,8,1,13325,42,True,False,False,,,no fixed-duty transition 72->78;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,0e1ac0596751786596cda622bbd09c5a1f66ba0c39e12a9bb8f70dc4cc7de2c7,b056d18c47dd4cf03c7444764f00d409c6a61b3612e28399330be5d996c79ac1,b1faaf670b8b8fdf42b4fbaae2b904d9cfbd63f8be21534560fa4c3b2e7fde5b,evsp-dr-trip-identity-v1
k08_s1,8,1,13403,14,True,False,False,,,no fixed-duty transition 115->133;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,0e1ac0596751786596cda622bbd09c5a1f66ba0c39e12a9bb8f70dc4cc7de2c7,b056d18c47dd4cf03c7444764f00d409c6a61b3612e28399330be5d996c79ac1,b1faaf670b8b8fdf42b4fbaae2b904d9cfbd63f8be21534560fa4c3b2e7fde5b,evsp-dr-trip-identity-v1
k08_s1,8,1,13405,13,True,False,False,,,no fixed-duty transition 51->62;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,0e1ac0596751786596cda622bbd09c5a1f66ba0c39e12a9bb8f70dc4cc7de2c7,b056d18c47dd4cf03c7444764f00d409c6a61b3612e28399330be5d996c79ac1,b1faaf670b8b8fdf42b4fbaae2b904d9cfbd63f8be21534560fa4c3b2e7fde5b,evsp-dr-trip-identity-v1
k08_s1,8,1,13414,12,True,True,True,15.0,10,,15.0,10,False,5a26312461037c4273f16b60db985423e6189171a0fb75f8ea0ee85316e3f4d4,0e1ac0596751786596cda622bbd09c5a1f66ba0c39e12a9bb8f70dc4cc7de2c7,b056d18c47dd4cf03c7444764f00d409c6a61b3612e28399330be5d996c79ac1,b1faaf670b8b8fdf42b4fbaae2b904d9cfbd63f8be21534560fa4c3b2e7fde5b,evsp-dr-trip-identity-v1
k08_s2,8,2,13304,37,True,False,False,,,no fixed-duty transition 165->167;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,13aa5dd1ae4976336d665d36bab0f99b9a15a61f41839c1ff19aa38e81362416,fa0eeb4484d3630ee8a9baae615cf00401cf0a1761732828811562466adad528,6996ef1e521579b02cece1a278a94cfcb55880b8ceaac7a369846acb2068325d,evsp-dr-trip-identity-v1
k08_s2,8,2,13305,30,True,False,False,,,no fixed-duty transition 55->61;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,13aa5dd1ae4976336d665d36bab0f99b9a15a61f41839c1ff19aa38e81362416,fa0eeb4484d3630ee8a9baae615cf00401cf0a1761732828811562466adad528,6996ef1e521579b02cece1a278a94cfcb55880b8ceaac7a369846acb2068325d,evsp-dr-trip-identity-v1
k08_s2,8,2,13309,22,True,True,True,15.0,10,,15.0,10,False,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,13aa5dd1ae4976336d665d36bab0f99b9a15a61f41839c1ff19aa38e81362416,fa0eeb4484d3630ee8a9baae615cf00401cf0a1761732828811562466adad528,6996ef1e521579b02cece1a278a94cfcb55880b8ceaac7a369846acb2068325d,evsp-dr-trip-identity-v1
k08_s2,8,2,13314,16,True,False,False,,,no fixed-duty transition 128->138;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,13aa5dd1ae4976336d665d36bab0f99b9a15a61f41839c1ff19aa38e81362416,fa0eeb4484d3630ee8a9baae615cf00401cf0a1761732828811562466adad528,6996ef1e521579b02cece1a278a94cfcb55880b8ceaac7a369846acb2068325d,evsp-dr-trip-identity-v1
k08_s2,8,2,13316uwt,21,True,False,False,,,no fixed-duty transition 124->133;adaptive_sensitivity_not_run_scale_gt5,15.0,10,False,0d368920af0c5b14e0907b85977a9f72163a0cea6431c206f992e89aa31eb27f,13aa5dd1ae4976336d665d36bab0f99b9a15a61f41839c1ff19aa38e81362416,fa0eeb4484d3630ee8a9baae615cf00401cf0a1761732828811562466adad528,6996ef1e521579b02cece1a278a94cfcb55880b8ceaac7a369846acb2068325d,evsp-dr-trip-identity-v1
