462778.extern|extern|COMPLETED|0:0|00:16:09|2026-09-25T12:44:21|2026-09-25T13:00:30|||sablab-cpu-02
462779|st_cl_r21_spatial_PARX_x0p50|COMPLETED|0:0|00:02:40|2026-09-25T13:00:54|2026-09-25T13:03:34|16G||unicorn-cpu-76
462779.batch|batch|COMPLETED|0:0|00:02:40|2026-09-25T13:00:54|2026-09-25T13:03:34||561864K|unicorn-cpu-76
462779.extern|extern|COMPLETED|0:0|00:02:40|2026-09-25T13:00:54|2026-09-25T13:03:34|||unicorn-cpu-76
462780|st_fx_r21_spatial_PARX_x0p50|COMPLETED|0:0|00:03:11|2026-09-25T12:44:21|2026-09-25T12:47:32|16G||harpo
462780.batch|batch|COMPLETED|0:0|00:03:11|2026-09-25T12:44:21|2026-09-25T12:47:32||548376K|harpo
462780.extern|extern|COMPLETED|0:0|00:03:11|2026-09-25T12:44:21|2026-09-25T12:47:32|||harpo
462781|st_cg_r21_spatial_PARX_x0p75|COMPLETED|0:0|00:17:21|2026-09-25T12:44:21|2026-09-25T13:01:42|16G||sablab-cpu-02
462781.batch|batch|COMPLETED|0:0|00:17:21|2026-09-25T12:44:21|2026-09-25T13:01:42||955424K|sablab-cpu-02
462781.extern|extern|COMPLETED|0:0|00:17:21|2026-09-25T12:44:21|2026-09-25T13:01:42|||sablab-cpu-02
462782|st_cl_r21_spatial_PARX_x0p75|COMPLETED|0:0|00:04:23|2026-09-25T13:01:56|2026-09-25T13:06:19|16G||unicorn-cpu-74
462782.batch|batch|COMPLETED|0:0|00:04:23|2026-09-25T13:01:56|2026-09-25T13:06:19||538272K|unicorn-cpu-74
462782.extern|extern|COMPLETED|0:0|00:04:23|2026-09-25T13:01:56|2026-09-25T13:06:19|||unicorn-cpu-74
462783|st_fx_r21_spatial_PARX_x0p75|COMPLETED|0:0|00:02:47|2026-09-25T12:44:21|2026-09-25T12:47:08|16G||jingjie-cpu-13
462783.batch|batch|COMPLETED|0:0|00:02:47|2026-09-25T12:44:21|2026-09-25T12:47:08||521380K|jingjie-cpu-13
